100,2,100,14,194,700,0.0088191340742918446,16.142934924605985
101,10,55,10,200,51,0.001475623583387792,1.3150840814066516
102,12,67,4,137,592,0.30286742848322412,101.10287022767027
103,5,70,2,137,295,1.5218876606375269,239.270449113159
104,13,73,16,153,868,0.0063438947740889476,8.2118631604769678
105,15,81,17,131,745,0.0046069964322468047,6.0213412431329285
106,4,99,14,108,91,0.0014408891429799396,2.0737422660267737
107,7,88,14,124,735,0.010156175105703541,12.774390316324721
108,5,57,7,120,101,0.012174214363504529,7.2933138488003371
109,3,88,3,174,202,0.28883000660276714,74.772847678699122
110,7,34,16,122,128,0.0012021688871075653,1.7254732393013223
111,2,80,7,97,422,0.061456870941870814,48.382352296464163
112,2,59,15,195,513,0.00523204322145408,10.807764972030245
113,15,54,19,174,915,0.0036306951179858357,5.3722981238318077
114,12,89,13,175,73,0.00096575204915674525,1.0533719222715894
115,8,72,14,98,189,0.0028946401867917335,3.5917011590583896
116,10,91,16,162,73,0.00055928214956345193,0.7661193632177703
117,12,36,14,112,984,0.012751674867781719,14.598837319631228
118,2,38,14,171,524,0.0069365070918852119,12.838082578621615
119,9,58,9,169,842,0.036260443410131737,29.114870768752702
120,6,62,11,121,713,0.021098660850593004,21.57632488068764
121,14,41,11,163,533,0.011280775793478472,10.723848663721991
122,10,99,19,121,457,0.0023690690520840941,3.6098167047165028
123,3,48,18,188,436,0.0025181354689958581,4.6745822449794385
124,1,66,12,101,862,0.023967861016555254,47.616263348742152
125,10,63,15,120,176,0.0018735355331051147,2.3431550737838052
126,11,89,19,92,93,0.00054920575013598337,0.83473460086052464
127,4,53,16,154,822,0.0072824825737460791,12.433892469546626
128,9,46,19,136,602,0.0030332251967505395,4.7698515203484728
129,3,48,6,199,243,0.039526048834893523,21.403797223591102
130,1,40,12,114,531,0.013795308912235026,27.348383004133211
131,10,45,9,96,502,0.02763955683256554,21.507780389874803
132,5,61,16,199,980,0.0077226594707154594,12.409450577351032
133,4,36,17,120,332,0.0027738998187409594,4.8960765308373624
134,1,84,8,199,854,0.058921500722470953,74.412653518081484
135,10,70,19,114,244,0.0013055067215473196,2.0165056018687348
136,6,88,6,118,321,0.061586220244234297,32.55614162339652
137,15,54,20,120,113,0.00045041408112284016,0.6582891254794967
138,7,49,14,131,964,0.012974932369877696,16.451623073416751
139,1,92,20,161,316,0.001452153750477617,5.4422280587148757
140,3,69,3,185,618,0.86141659234409063,223.36686161279218
141,2,89,1,168,200,7.4177354078279363,549.36302174898913
142,2,40,13,189,398,0.0063507257419082412,11.052593161520429
143,11,65,10,170,186,0.0055625152653262285,4.83298853364107
144,13,77,19,196,877,0.0034835397858487055,5.0868473925071447
145,15,67,5,182,617,0.12942601677332141,59.137415826054088
146,7,36,16,136,326,0.0028959717257361454,4.1962559389860807
147,10,77,10,154,550,0.017414062782384405,14.079879990509058
148,1,89,8,98,691,0.066899170715203363,79.759555229590674
149,13,42,18,126,340,0.0019182528586171891,2.6997789676174655
150,1,93,12,93,197,0.0057554178193220127,11.328339810871046
151,5,52,11,140,516,0.01454778359511359,15.428906793435331
152,4,74,17,132,555,0.004355330700019892,6.0300502748771123
153,5,47,4,177,532,0.29967757036172815,97.512585446020722
154,4,83,2,187,566,2.6030670135140652,413.40412719460312
155,9,88,13,156,883,0.013128860586089166,14.72934544653446
156,13,70,13,148,434,0.0059803232224105874,6.388381867418266
157,15,46,19,138,673,0.0029478883227712638,4.2906358555074151
158,1,38,5,172,264,0.083309709170235072,52.364480181567586
159,4,60,17,128,334,0.0026767814181883121,4.8289974899883834
160,15,90,17,188,463,0.0024893246629259583,3.2882682199892308
161,8,78,19,143,492,0.0024585001722014243,4.1624753590300152
162,10,38,7,133,115,0.011560106673021946,6.8683617498553318
163,10,75,4,160,137,0.069692749042503069,23.379359333532
164,5,99,15,176,675,0.0067658613437216351,10.123532828838584
165,15,96,11,132,251,0.0056384694888105295,5.2678233845576843
166,14,61,15,198,55,0.00043321052224980168,0.53173943584467753
167,4,76,19,173,850,0.0042352912109494276,8.5985935389345549
168,11,33,2,155,500,1.9776414519598042,335.6937931998778
169,11,93,4,109,449,0.26702740861648472,89.73200883196732
170,7,44,5,172,863,0.23662429149794445,100.84458818330172
171,15,100,6,186,251,0.030217866127307955,16.35954499789753
172,13,70,14,137,483,0.0055177919991340274,6.3365755804820685
173,5,76,12,143,898,0.019290766708739231,22.463395567294764
174,14,45,11,182,840,0.017057647795635032,15.797958892080421
175,5,37,4,121,187,0.12620494180482622,42.430058002977084
176,1,94,1,152,584,25.21599822401593,1738.6855639265095
177,14,39,9,174,256,0.0095140926105845968,7.5386667109209506
178,14,94,10,112,368,0.012177094354074401,10.361615650508973
179,11,30,8,155,859,0.05179379620531023,37.016867423223374
180,1,68,6,173,178,0.031879842544701831,25.564409906555298
181,9,55,2,101,471,2.5096123522817306,409.793152951492
182,9,46,13,105,366,0.0065816782961617987,7.2852499478364763
183,10,48,17,99,60,0.00048685706063976674,0.67520780114502954
184,6,43,9,122,494,0.0265339035525831,22.414510611631815
185,14,61,10,140,105,0.003129432288574902,2.6796417564157053
186,3,32,11,180,998,0.02638824726703096,31.947881833574968
187,15,82,3,111,114,0.13507018691881417,35.459300552037469
188,2,89,11,154,131,0.0037561477731247388,5.1552927065763363
189,4,43,4,122,305,0.21044998881545318,65.493954910012633
190,15,96,19,162,380,0.0015430049826430287,2.2633676573096988
191,10,91,4,104,953,0.60126674131253288,199.8931561200751
192,4,50,15,102,808,0.010722833745144716,16.805098341908788
193,13,86,7,107,567,0.058091528189822619,35.560473367533618
194,1,38,16,154,394,0.00368437972569406,9.9823430397874979
195,12,85,16,165,91,0.00066093661625222036,0.83228440892712174
196,12,70,17,112,261,0.0018822475944497267,2.5607141266473321
197,5,84,17,119,166,0.0013538286510680767,2.2728405467122279
198,9,60,20,146,833,0.0034585511701989689,5.7193556713708222
199,3,90,15,143,766,0.0086893991110902988,14.457665464204448
200,4,91,15,95,148,0.0020467312737167216,3.2101333143661828
201,13,51,10,103,851,0.030290942855899422,25.859221955373748
202,3,46,11,134,596,0.017859136072669018,22.334463577532574
203,2,83,4,143,568,0.3791589218550091,148.58935767300983
204,1,56,14,196,173,0.0022068741332508662,5.3199464009627144
205,15,64,15,191,617,0.0047970358351669753,5.8621266629605646
206,7,53,11,160,367,0.0093396713245886484,9.4031066917800281
207,3,72,4,133,123,0.083262615128450929,29.835090460423835
208,15,90,12,192,92,0.0013814645735854092,1.3618374277249465
209,5,37,12,181,462,0.00901319521766116,10.644353415215514
210,13,52,12,179,249,0.0040419283454074416,4.0429693120015253
211,9,63,13,193,209,0.0028681914132629043,3.2298310326165587
212,6,45,16,138,613,0.0054890841654175009,8.10429385023875
213,15,98,20,118,950,0.0038050037854731695,5.7623190297907145
214,6,60,18,155,764,0.0045286299724592739,7.4842456961995589
215,13,42,17,125,349,0.0023401640832902133,3.1453522353021213
216,14,40,14,113,785,0.0095936966748427135,10.890313805643913
217,7,52,19,110,289,0.0016862174578147562,2.8739963873396333
218,7,57,1,188,948,31.549399227611143,2610.8527774130839
219,10,74,17,110,239,0.0018244245677231416,2.545948246111998
220,9,68,9,198,703,0.028515351709066383,22.365918311266537
221,15,58,11,111,661,0.016125848613007459,14.97261200603702
222,6,70,17,162,485,0.0033604652599256825,5.2890409664848441
223,3,88,8,113,165,0.014139215563639123,11.990984857665648
224,15,42,12,196,941,0.014061525117149689,14.268085049218145
225,8,85,7,128,998,0.10808384879165535,66.362228015701589
226,4,48,16,158,735,0.0064456599231312705,10.96880364209564
227,15,81,6,169,844,0.10519246977720234,57.238334027233734
228,9,83,20,90,599,0.0032159118690108161,5.3181754963669574
229,9,97,11,186,508,0.011641430880234825,11.285315404429609
230,14,58,9,174,659,0.024484021583926548,19.583035378002943
231,10,93,6,147,211,0.032582515478010644,16.81834053890287
232,11,95,4,145,855,0.44036764141942075,146.49478635105945
233,1,67,7,160,279,0.031947932538531489,33.027057427376405
234,14,45,17,95,969,0.0072964783664067941,9.4866806795397345
235,8,62,18,162,440,0.0024613531919976412,3.9254731661967073
236,1,81,10,125,203,0.00871799728450828,14.008270649084562
237,8,95,4,194,192,0.096113387302378131,33.560294262317008
238,12,40,8,136,162,0.010057961811083998,7.0057324203682931
239,11,81,7,155,926,0.084455163599029423,50.780073629111627
240,14,41,15,185,713,0.0057646946533005481,7.0178354931226981
241,4,53,15,112,181,0.0022786819153689884,3.5819774963294728
242,6,93,6,162,940,0.15510836945451131,82.64754449637239
243,6,87,15,146,536,0.0056822785608771492,7.8946151444389709
244,8,45,11,99,846,0.026567838858365129,25.150421716041926
245,10,100,17,165,666,0.004215252224890732,6.0367431216824556
246,2,70,4,181,141,0.084656198861700574,33.414577761897355
247,6,54,4,174,504,0.27876527347301733,94.9170148339795
248,8,64,14,141,956,0.012160278613591773,15.125797902911938
249,12,45,5,114,578,0.1654645584339641,71.295736028629022
250,1,82,9,114,904,0.055998484879344487,78.049890584172573
251,12,82,9,147,392,0.016497494772417996,12.716065449643667
252,5,98,9,150,123,0.0061279811630305858,5.3636766498103539
253,10,84,2,163,845,3.3955146087166326,581.76199087477914
